org_id,account_name,account_id,has_2026_02_modified_today,record_id,metric_period_key,date,last_modified_by,last_modified_at
00D4P000000xz3HUAQ,Hill-Stead Museum,001f20000236ZphAAE,YES,a3wVs000001uGCnIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:10
00D8b00000154NiEAI,Tesla Science Center,0015w00002eiff4AAA,YES,a3wVs000001uGZNIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:38
00D8d00000946uoEAA,American Museum & Gardens,0018W000025x3B4QAI,YES,a3wVs000001uGazIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:06
00Da500001NKck0EAD,Aspen Historical Society,001Vs000004IjuIIAS,YES,a3wVs000001uGeDIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:43
00D3t000002PLjPEAW,Maryland Center for History and Culture,0015w00002HOVxZAAX,YES,a3wVs000001uG9ZIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:32
00D2E000000mCvGUAU,MacKenzie Art Gallery,001f200001TeCJeAAN,YES,a3wVs000001uG7xIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:36:12
00D1t000000GUiJEAW,Serpentine Galleries,001Vs00000BuQkgIAF,YES,a3wVs000001uG6LIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:06
00D5f000007IYK6EAO,Royal Aviation Museum,0015w00002TgExLAAV,YES,a3wVs000001uGUXIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:40:05
00DDn000002q6g6MAA,Museé Nature Sciences (MNS2),0018W00001lVZXKQA4,YES,a3wVs000001uGkfIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:42
00D5e000005Ac1hEAC,Emily Dickinson Museum - Amherst College,0015w00002QYqGeAAL,YES,a3wVs000001uGMTIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:31:39
00DHr00000FcNsFMAV,The BIGGS museum of American Art,0018W00002XUXbuQAH,YES,a3wVs000001uGzBIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:41:47
00DKj00000GfwwcMAB,Discovery Center of Springfield,001Vs000009nKd8IAE,YES,a3wVs000001uHATIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:31:06
00D2x000000E4KNEA0,Rockhampton Regional Council,001f200001svlQIAAY,YES,a3wVs000001uJCHIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:40:05
00D8Z000002hlYmUAI,Milwaukee Domes Alliance (Friends of the Domes),0015w00002eiZrOAAU,YES,a3wVs000001uJNZIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:07
